Region,BeginDate,Income ($)
Cook Islands,1960,20900
Latvia,1940,20900
Vanuatu,1960,9000
Cameroon,1950,20900
Kazakhstan,1960,22200
Cyprus,1960,22200
Svalbard And Jan Mayen Islands,1960,17200
Central African Republic,1960,9300
Svalbard And Jan Mayen Islands,1970,9000
Italy,1970,17200
World,1730-2010,6500
Dominica,1980,11600
World,1730-2010,12400
Faroe Islands,1820,9000
Montenegro,1950,9000
World,1730-2010,17200
World,1730-2010,11600
World,1730-2010,20900
World,1730-2010,9300
Botswana,1930,34400
World,1730-2010,6500
World,1730-2010,17200
World,1730-2010,12400
World,1730-2010,3100
Bahamas The,1950,9300
Andorra,1900,9300
World,1730-2010,43100
World,1730-2010,5400
Bhutan,1900,17200
World,1730-2010,11600
Lithuania,1920,11600
Uzbekistan,1910,9300
Colombia,1910,11600
New Zealand,1880,12400
Zimbabwe,1930,9300
Ethiopia,1930,17200
Western Sahara,1960,12400
Tanzania,1970,24100
Uzbekistan,1910,5400
"Bonaire, Sint Eustatius and Saba",1960,20900
Macau S.A.R.,1930,6500
Cote D'Ivoire (Ivory Coast),1960,24100
Andorra,1910,12400
World,1730-2010,12400
Mexico,1910,24100
Macedonia,1970,6500
Montenegro,1880,11600
Armenia,1950,11600
Guyana,1920,17200
Papua new Guinea,1960,9300
Puerto Rico,1960,9000
Indonesia,1960,9300
Bulgaria,1930,22200
Canada,1950,11600
World,1730-2010,5400
Italy,1960,9000
World,1730-2010,11600
Dominican Republic,1960,9000
Kenya,1960,17200
World,1730-2010,9300
Norfolk Island,1950,17200
Djibouti,1950,24100
Malta,1950,11600
Comoros,1970,22200
World,1730-2010,9000
Cote D'Ivoire (Ivory Coast),1940,9300
Gambia The,1880,3100
Sint Maarten (Dutch part),1860,9300
World,1730-2010,5400
World,1730-2010,11600
World,1730-2010,11600
Azerbaijan,1890,11600
World,1730-2010,24100
Vietnam,1930,17200
Austria,1950,9000
World,1730-2010,9300
United Arab Emirates,1900,9000
Gabon,1920,9000
Denmark,1950,34400
World,1730-2010,9300
Kiribati,1860,20900
World,1730-2010,9000
World,1730-2010,3100
Swaziland,1960,9000
Poland,1950,12400
Macedonia,1960,22200
Turks And Caicos Islands,1950,9300
Tonga,1980,6500
Colombia,1950,22200
Somalia,1970,9300
Russia,1970,17200
Cocos (Keeling) Islands,1960,25800
World,1730-2010,12400
Mauritania,1960,5400
World,1730-2010,9300
Saint Pierre and Miquelon,1960,9000
World,1730-2010,11600
Puerto Rico,1920,9300
Cape Verde,1870,34400
Mauritania,1950,9300
World,1730-2010,12400
Angola,1900,5400
World,1730-2010,9300
Serbia,1960,39500
World,1730-2010,11600
World,1730-2010,24100
Macau S.A.R.,1930,9300
Barbados,1870,11600
Romania,1940,9000
World,1730-2010,9300
Chile,1870,9300
World,1730-2010,9300
Ecuador,1930,24100
Northern Mariana Islands,1900,5400
Kiribati,1860,9000
Curaçao,1940,25800
World,1730-2010,12400
World,1730-2010,24100
Burundi,1890,24100
World,1730-2010,9300
Croatia (Hrvatska),1900,42800
World,1730-2010,5400
French Guiana,1900,17200
Moldova,1880,22200
World,1730-2010,9300
World,1730-2010,25800
Guyana,1930,11600
World,1730-2010,6500
World,1730-2010,25800
World,1730-2010,9000
World,1730-2010,9300
Ethiopia,1940,17200
Andorra,1960,9000
World,1730-2010,17200
World,1730-2010,11600
Netherlands The,1960,17200
Somalia,1930,11600
Zimbabwe,1930,17200
World,1730-2010,17200
Wallis And Futuna Islands,1940,9300
World,1730-2010,24100
Nigeria,1880,9300
Western Sahara,1970,34400
World,1730-2010,5400
Anguilla,1970,20900
Colombia,1970,12400
New Zealand,1970,22200
Sudan,1940,12400
Canada,1900,9000
Armenia,1910,5400
Lebanon,1910,20900
Taiwan,1890,17200
Malawi,1820,3100
World,1730-2010,6500
World,1730-2010,17200
Senegal,1920,22200
Gibraltar,1960,12400
World,1730-2010,5400
World,1730-2010,12400
Canada,1890,9300
World,1730-2010,22200
World,1730-2010,9000
World,1730-2010,17200
World,1730-2010,11600
World,1730-2010,9300
World,1730-2010,12400
World,1730-2010,11600
World,1730-2010,20900
World,1730-2010,22200
Maldives,1970,22200
Pakistan,1910,17200
World,1730-2010,9000
World,1730-2010,6500
Laos,1890,22200
World,1730-2010,22200
Thailand,1890,9300
French Guiana,1890,20900
World,1730-2010,9300
World,1730-2010,12400
World,1730-2010,20900
World,1730-2010,5400
Cape Verde,1810,9300
World,1730-2010,17200
World,1730-2010,11600
World,1730-2010,22200
World,1730-2010,38600
United Kingdom,1900,22200
World,1730-2010,12400
Libya,1940,11600
World,1730-2010,11600
World,1730-2010,9300
World,1730-2010,5400
World,1730-2010,20900
World,1730-2010,22200
Germany,1910,12400
World,1730-2010,25800
Lithuania,1960,22200
Slovenia,1950,12400
Indonesia,1970,6500
World,1730-2010,22200
World,1730-2010,42800
British Indian Ocean Territory,1880,38600
Belize,1880,9300
Luxembourg,1890,9300
Tonga,1940,22200
Marshall Islands,1900,9000
World,1730-2010,24100
Saint Helena,1910,24100
Nepal,1890,24100
World,1730-2010,12400
Comoros,1950,6500
Estonia,1950,24100
World,1730-2010,9000
World,1730-2010,25800
Cambodia,1960,24100
World,1730-2010,6500
World,1730-2010,17200
New Zealand,1900,17200
World,1730-2010,11600
Kosovo,1850,11600
Japan,1960,9300
World,1730-2010,11600
World,1730-2010,11600
Saint Helena,1950,9000
World,1730-2010,9300
World,1730-2010,9300
Estonia,1910,12400
World,1730-2010,6500
Curaçao,1930,11600
World,1730-2010,12400
World,1730-2010,11600
Gabon,1880,17200
Iceland,1930,9000
World,1730-2010,5400
Kazakhstan,1920,3100
Azerbaijan,1970,22200
World,1730-2010,24100
World,1730-2010,3100
World,1730-2010,3100
World,1730-2010,12400
Micronesia,1970,9300
World,1730-2010,9000
United States,1970,5400
World,1730-2010,9300
Botswana,1870,17200
Congo The Democratic Republic Of The,1880,25800
World,1730-2010,5400
Jamaica,1950,17200
Reunion,1940,9000
World,1730-2010,9300
Turkmenistan,1940,9000
World,1730-2010,17200
World,1730-2010,22200
World,1730-2010,9000
World,1730-2010,6500
Falkland Islands,1900,9000
Bulgaria,1910,9300
World,1730-2010,22200
World,1730-2010,9300
World,1730-2010,9300
World,1730-2010,12400
World,1730-2010,6500
World,1730-2010,22200
Andorra,1910,17200
World,1730-2010,20900
World,1730-2010,6500
Macau S.A.R.,1880,22200
Bahrain,1880,24100
Chile,1900,11600
World,1730-2010,3100
World,1730-2010,9300
World,1730-2010,38600
Bhutan,1950,17200
World,1730-2010,24100
Equatorial Guinea,1890,20900
Saint Helena,1890,9300
Malaysia,1900,11600
Solomon Islands,1890,6500
World,1730-2010,20900
World,1730-2010,11600
World,1730-2010,9000
Malawi,1960,11600
Bermuda,1960,25800
World,1730-2010,22200
Macau S.A.R.,1900,9300
World,1730-2010,11600
World,1730-2010,11600
World,1730-2010,9300
World,1730-2010,17200
Switzerland,1950,9300
World,1730-2010,6500
Dominican Republic,1920,9300
Togo,1900,6500
"Bonaire, Sint Eustatius and Saba",1980,9000
World,1730-2010,25800
Serbia,1930,12400
World,1730-2010,17200
Austria,1900,9300
World,1730-2010,12400
World,1730-2010,9300
Bahamas The,1940,24100
Bulgaria,1920,11600
World,1730-2010,9300
World,1730-2010,5400
World,1730-2010,17200
Bahamas The,1950,9000
Colombia,1910,5400
Tonga,1880,24100
World,1730-2010,9300
World,1730-2010,9000
World,1730-2010,17200
World,1730-2010,22200
World,1730-2010,9300
World,1730-2010,20900
Faroe Islands,1820,9000
World,1730-2010,11600
World,1730-2010,24100
Ethiopia,1860,20900
Samoa,1930,17200
World,1730-2010,22200
World,1730-2010,17200
Saint Lucia,1930,12400
Seychelles,1890,9300
Paraguay,1880,22200
Denmark,1900,34400
World,1730-2010,34700
World,1730-2010,9000
World,1730-2010,11600
Sweden,1960,20900
Bahamas The,1940,9300
World,1730-2010,9000
World,1730-2010,20900
World,1730-2010,25800
World,1730-2010,9300
World,1730-2010,12400
World,1730-2010,6500
Kazakhstan,1960,9300
South Georgia,1890,24100
Cape Verde,1810,9300
Chad,1990,9300
World,1730-2010,9300
El Salvador,1910,9300
World,1730-2010,20900
World,1730-2010,20900
Paraguay,1970,3100
World,1730-2010,20900
World,1730-2010,11600
World,1730-2010,11600
World,1730-2010,9000
Djibouti,1940,6500
Cote D'Ivoire (Ivory Coast),1860,25800
New Caledonia,1970,39500
World,1730-2010,9300
World,1730-2010,22200
World,1730-2010,6500
Austria,1950,3100
Israel,1960,17200
Australia,1930,20900
World,1730-2010,9300
World,1730-2010,5400
World,1730-2010,9000
Saint Kitts And Nevis,1890,5400
World,1730-2010,9300
World,1730-2010,11600
Bahamas The,1930,11600
Mali,2000,11600
World,1730-2010,9000
Turks And Caicos Islands,1830,12400
Seychelles,1910,5400
World,1730-2010,20900
World,1730-2010,17200
Dominican Republic,2000,12400
World,1730-2010,38600
Algeria,1880,9000
World,1730-2010,12400
Oman,1970,9000
Dominican Republic,1960,24100
World,1730-2010,11600
World,1730-2010,24100
India,1930,9300
World,1730-2010,5400
World,1730-2010,9000
World,1730-2010,22200
Cape Verde,1960,9000
World,1730-2010,3100
East Timor,1890,25800
Kiribati,1920,11600
World,1730-2010,9000
Gibraltar,1900,17200
World,1730-2010,6500
Saint Lucia,1920,9300
World,1730-2010,12400
World,1730-2010,9300
Cape Verde,1900,11600
World,1730-2010,17200
World,1730-2010,5400
World,1730-2010,20900
British Indian Ocean Territory,1900,5400
Puerto Rico,1950,12400
World,1730-2010,12400
World,1730-2010,17200
World,1730-2010,22200
World,1730-2010,34400
World,1730-2010,9300
World,1730-2010,5400
South Sudan,1950,17200
World,1730-2010,17200
World,1730-2010,11600
World,1730-2010,22200
World,1730-2010,22200
Cayman Islands,1930,25800
World,1730-2010,9300
Japan,1890,11600
World,1730-2010,3100
Ireland,1900,22200
World,1730-2010,9000
Tanzania,1900,9300
Belgium,1900,6500
South Africa,1900,6500
Niue,1890,25800
New Caledonia,1900,20900
Cyprus,1950,24100
World,1730-2010,11600
World,1730-2010,22200
World,1730-2010,3100
Tuvalu,1900,5400
Saint Lucia,1920,11600
Turks And Caicos Islands,1950,20900
Marshall Islands,1900,34700
World,1730-2010,25800
Papua new Guinea,1900,22200
Colombia,1980,9300
Gambia The,1890,12400
World,1730-2010,22200
Equatorial Guinea,1900,11600
Cape Verde,1870,9000
World,1730-2010,17200
Antigua And Barbuda,1890,24100
World,1730-2010,6500
Niue,1900,9300
Yemen,1960,11600
World,1730-2010,34700
United Kingdom,1900,17200
Gabon,1900,11600
World,1730-2010,12400
Benin,1980,34400
World,1730-2010,25800
World,1730-2010,6500
Barbados,1920,24100
Gibraltar,1890,17200
Tuvalu,1900,5400
World,1730-2010,11600
Kuwait,1890,20900
Monaco,1910,9000
World,1730-2010,22200
Ethiopia,1900,9300
Burundi,1960,20900
Niue,1970,5400
Seychelles,1880,9000
Falkland Islands,1890,12400
Kiribati,1900,11600
World,1730-2010,20900
Ecuador,1900,17200
Georgia,1970,49000
Norway,1900,6500
British Indian Ocean Territory,1900,9300
United Arab Emirates,1920,20900
World,1730-2010,22200
French Guiana,1890,34700
Ecuador,1880,5400
World,1730-2010,24100
Azerbaijan,1860,24100
Georgia,1930,6500
World,1730-2010,5400
Turks And Caicos Islands,1900,12400
World,1730-2010,11600
Niue,1890,5400
World,1730-2010,11600
Montserrat,1940,38600
Nicaragua,1970,17200
World,1730-2010,25800
Albania,1960,22200
World,1730-2010,11600
Macau S.A.R.,1910,38600
Korea North,1890,5400
Congo,1900,25800
Uzbekistan,1900,11600
World,1730-2010,6500
Macau S.A.R.,1900,11600
World,1730-2010,9300
Belgium,1900,6500
Bermuda,1890,25800
World,1730-2010,5400
Morocco,1870,22200
Argentina,1890,5400
Micronesia,1890,20900
World,1730-2010,12400
World,1730-2010,6500
French Polynesia,1880,22200
Bermuda,1880,39500
World,1730-2010,34400
Canada,1890,9300
World,1730-2010,20900
World,1730-2010,24100
Moldova,1880,6500
Chile,1940,17200
Norway,1890,3100
New Zealand,1880,24100
Bahrain,1880,11600
Ecuador,1900,9000
Korea North,1900,9300
Norfolk Island,1890,9300
World,1730-2010,5400
Tanzania,1980,9000
World,1730-2010,17200
Haiti,1960,11600
Equatorial Guinea,1960,9300
Moldova,1890,6500
Namibia,1940,11600
World,1730-2010,20900
Tuvalu,1950,22200
World,1730-2010,9300
Austria,1920,9300
World,1730-2010,22200
World,1730-2010,9000
World,1730-2010,38600
Grenada,1930,9000
Gabon,1950,12400
World,1730-2010,17200
Guernsey and Alderney,1990,34400
World,1730-2010,12400
Seychelles,1880,43100
World,1730-2010,11600
Mayotte,1890,9000
World,1730-2010,17200
Guadeloupe,1960,5400
World,1730-2010,12400
World,1730-2010,9300
Central African Republic,1970,20900
Costa Rica,1930,9300
Qatar,1920,9300
World,1730-2010,17200
Serbia,1890,24100
Tanzania,1960,11600
Barbados,1960,17200
Saint Helena,1950,6500
World,1730-2010,5400
World,1730-2010,12400
Cambodia,1950,9000
Madagascar,1970,12400
Lithuania,1900,9300
World,1730-2010,9300
World,1730-2010,42800
Macedonia,1930,9300
Algeria,1960,6500
World,1730-2010,6500
World,1730-2010,17200
Macau S.A.R.,1940,9300
World,1730-2010,17200
Germany,1930,22200
World,1730-2010,12400
World,1730-2010,9000
World,1730-2010,25800
World,1730-2010,9300
World,1730-2010,17200
World,1730-2010,6500
World,1730-2010,9300
World,1730-2010,17200
Northern Mariana Islands,1960,9300
Philippines,1960,11600
Nigeria,1960,9000
World,1730-2010,5400
Taiwan,1950,22200
World,1730-2010,3100
Malaysia,1970,6500
World,1730-2010,5400
Burundi,1960,9300
Sint Maarten (Dutch part),1960,6500
World,1730-2010,17200
Congo The Democratic Republic Of The,1950,22200
World,1730-2010,34400
Dominica,1960,25800
Ukraine,1960,9000
World,1730-2010,12400
World,1730-2010,11600
Saint Helena,1940,11600
Nauru,1950,9000
Bermuda,1960,9300
Norway,1950,6500
Japan,1940,22200
World,1730-2010,9300
World,1730-2010,6500
Guadeloupe,1950,11600
Barbados,1940,25800
Equatorial Guinea,1960,22200
Dominican Republic,1900,9000
Lithuania,1910,20900
Sint Maarten (Dutch part),1970,12400
World,1730-2010,17200
Morocco,1960,9000
Macau S.A.R.,1960,11600
Mauritius,1960,3100
Zambia,1950,11600
New Caledonia,1960,24100
Germany,1940,9300
Pakistan,1910,9300
French Guiana,1950,17200
World,1730-2010,34400
World,1730-2010,11600
Senegal,1960,9300
New Zealand,1940,42800
Myanmar,1970,6500
World,1730-2010,11600
Laos,1920,9300
Uruguay,1960,12400
Liechtenstein,1870,22200
World,1730-2010,5400
Paraguay,1880,3100
Saint Pierre and Miquelon,1900,11600
Eritrea,1880,5400
Chad,1880,9300
World,1730-2010,9300
World,1730-2010,9000
Mauritania,1970,5400
Turkmenistan,1980,5400
World,1730-2010,9000
Saint Helena,1960,9300
Wallis And Futuna Islands,1940,3100
World,1730-2010,6500
Micronesia,1960,9300
Venezuela,1970,9300
Botswana,1950,6500
Bolivia,1960,11600
Benin,1970,45500
Jersey,1960,5400
World,1730-2010,9000
World,1730-2010,3100
Netherlands The,1900,9300
Kiribati,1960,20900
World,1730-2010,5400
Tajikistan,1960,12400
World,1730-2010,9300
World,1730-2010,9300
Laos,1940,20900
Vietnam,1970,38600
Denmark,1970,20900
India,1970,17200
Liechtenstein,1960,12400
Christmas Island,1960,9000
World,1730-2010,9300
Morocco,1940,6500
Mongolia,1930,5400
Ghana,1870,12400
Cook Islands,1890,20900
Botswana,1910,20900
Rwanda,1890,22200
World,1730-2010,6500
Greece,1940,9300
Ukraine,1930,11600
Malta,1940,9300
Palestinian Territory Occupied,1890,24100
Russia,1920,12400
New Caledonia,1950,11600
World,1730-2010,6500
Uzbekistan,1980,9300
Ethiopia,1940,9300
Nicaragua,1960,25800
Armenia,1960,24100
Lebanon,1950,6500
Niue,1950,17200
World,1730-2010,24100
Palau,1900,9000
Ethiopia,1920,9000
Samoa,1920,9300
Eritrea,1950,12400
Honduras,1960,5400
World,1730-2010,38600
World,1730-2010,3100
World,1730-2010,5400
Svalbard And Jan Mayen Islands,1980,9000
World,1730-2010,22200
Mauritania,1960,9300
Samoa,1940,9300
Trinidad And Tobago,1950,9000
Sri Lanka,1960,12400
Saint-Martin (French part),1960,9000
China,1970,25800
Bhutan,1960,11600
World,1730-2010,9300
Kosovo,1960,17200
Italy,1950,43100
Antigua And Barbuda,1960,25800
Moldova,1960,12400
Saint-Barthelemy,1950,9300
Pakistan,1940,11600
Russia,1930,11600
Comoros,1980,6500
Tanzania,1930,22200
World,1730-2010,9300
Botswana,1950,5400
World,1730-2010,43100
Chile,1870,9300
Mauritania,1870,17200
Maldives,1970,9000
Tajikistan,1870,9000
Guadeloupe,1940,9300
Kenya,1960,6500
Saint-Barthelemy,1950,34700
Sint Maarten (Dutch part),1960,9300
Micronesia,1960,22200
Belgium,1930,20900
Nauru,1940,12400
San Marino,1940,3100
World,1730-2010,3100
Svalbard And Jan Mayen Islands,1890,20900
Finland,1950,9300
El Salvador,1930,20900
Vietnam,1900,12400
Mexico,1930,9300
Tuvalu,1940,12400
Falkland Islands,1930,22200
Croatia (Hrvatska),1940,9000
Mexico,1930,11600
Senegal,1930,9000
Bulgaria,1920,34400
Seychelles,1930,9300
World,1730-2010,9300
Liberia,1960,20900
Dominica,1960,9000
Niue,1890,11600
Guinea-Bissau,1920,3100
Central African Republic,1900,12400
World,1730-2010,12400
Christmas Island,1890,12400
American Samoa,1940,9000
Trinidad And Tobago,1900,9000
Syria,1920,6500
Seychelles,1910,9300
World,1730-2010,34400
World,1730-2010,20900
Czech Republic,1890,9000
World,1730-2010,6500
Gambia The,1960,6500
Nauru,1930,9300
French Polynesia,1970,25800
Libya,1930,5400
Reunion,1940,6500
Western Sahara,1960,9000
World,1730-2010,25800
Cayman Islands,1930,22200
Montserrat,1960,25800
World,1730-2010,6500
Trinidad And Tobago,1950,9000
Cyprus,1930,9300
World,1730-2010,9000
France,1920,9300
Greece,1920,22200
New Zealand,1960,22200
World,1730-2010,17200
Antigua And Barbuda,1880,34400
World,1730-2010,24100
World,1730-2010,20900
Australia,1960,22200
Cook Islands,1950,9000
Western Sahara,1940,22200
World,1730-2010,3100
World,1730-2010,22200
World,1730-2010,9300
Solomon Islands,1960,22200
World,1730-2010,9300
Cape Verde,1960,11600
Dominica,1970,9300
Lesotho,1950,9300
Western Sahara,1960,11600
Eritrea,1960,12400
Portugal,1890,25800
World,1730-2010,9300
Brazil,1950,5400
World,1730-2010,22200
Cyprus,1960,34400
Equatorial Guinea,1960,9300
Luxembourg,1860,11600
Norfolk Island,1890,6500
Afghanistan,1880,11600
Lithuania,1950,5400
El Salvador,1910,12400
Falkland Islands,1890,9300
World,1730-2010,9000
South Africa,1890,34400
World,1730-2010,3100
World,1730-2010,6500
World,1730-2010,9300
Moldova,1920,22200
World,1730-2010,25800
World,1730-2010,12400
Belize,1880,24100
Martinique,1910,17200
World,1730-2010,17200
Antigua And Barbuda,1890,9300
World,1730-2010,17200
Ethiopia,1920,17200
British Indian Ocean Territory,1910,9300
World,1730-2010,9300
Belarus,1930,22200
Christmas Island,1940,12400
Saudi Arabia,1960,12400
Nigeria,1920,11600
Cambodia,1910,9300
Congo The Democratic Republic Of The,1950,20900
Thailand,1960,11600
World,1730-2010,17200
World,1730-2010,9000
World,1730-2010,38600
French Guiana,1910,6500
Dominica,1930,9000
World,1730-2010,22200
Montserrat,1980,17200
World,1730-2010,9300
World,1730-2010,11600
World,1730-2010,11600
World,1730-2010,6500
Guernsey and Alderney,1900,12400
World,1730-2010,17200
World,1730-2010,9300
World,1730-2010,9300
Palau,1920,17200
World,1730-2010,9000
World,1730-2010,3100
World,1730-2010,9300
Andorra,1890,6500
South Sudan,1910,9300
World,1730-2010,9000
Israel,1950,9300
World,1730-2010,9300
World,1730-2010,24100
World,1730-2010,9000
Kyrgyzstan,1930,17200
World,1730-2010,11600
World,1730-2010,17200
Bangladesh,1950,11600
Kenya,1960,6500
Zimbabwe,1970,43100
World,1730-2010,17200
Nicaragua,1930,22200
Aland Islands,1950,9300
Belgium,1930,9000
Benin,1940,6500
Cook Islands,1960,9000
Niger,1940,17200
British Indian Ocean Territory,1950,9000
Tunisia,1960,11600
Zimbabwe,1960,9000
Haiti,1950,49000
Netherlands The,1960,11600
Croatia (Hrvatska),1950,25800
Laos,1960,9300
Saint Lucia,1950,9300
Paraguay,1950,17200
Reunion,1940,12400
World,1730-2010,5400
Switzerland,1950,12400
Burkina Faso,1930,9300
Curaçao,1960,12400
Cook Islands,1940,9300
Morocco,1940,22200
World,1730-2010,11600
Bermuda,1940,17200
Swaziland,1960,9300
Romania,1950,12400
World,1730-2010,34400
World,1730-2010,25800
Jersey,1960,5400
World,1730-2010,12400
United Kingdom,1950,17200
World,1730-2010,12400
Turkey,1960,3100
World,1730-2010,17200
Netherlands The,1940,11600
Luxembourg,1950,17200
Jersey,1960,20900
Somalia,1930,9300
World,1730-2010,9300
World,1730-2010,5400
World,1730-2010,20900
World,1730-2010,9300
World,1730-2010,34700
Antigua And Barbuda,1970,12400
Paraguay,1970,9300
World,1730-2010,5400
Lebanon,1960,9300
World,1730-2010,17200
World,1730-2010,9300
Belgium,1960,6500
Bahamas The,1960,34700
Martinique,1950,9000
Greenland,1970,25800
Finland,1950,9000
Yemen,1960,9300
Western Sahara,1960,9300
Kyrgyzstan,1920,9300
World,1730-2010,20900
Greenland,1880,9300
Barbados,1970,3100
Burundi,1910,9000
New Caledonia,1950,12400
Saint Kitts And Nevis,1960,3100
Estonia,1960,34700
Austria,1950,11600
World,1730-2010,22200
Nicaragua,1970,9300
World,1730-2010,6500
Palau,1900,11600
World,1730-2010,9300
Falkland Islands,1960,12400
Cameroon,1970,24100
India,1940,5400
Russia,1960,42800
Marshall Islands,1950,12400
World,1730-2010,17200
Finland,1900,9300
Turkey,1940,22200
World,1730-2010,9000
Palestinian Territory Occupied,1950,6500
Namibia,1910,20900
Aland Islands,1960,20900
World,1730-2010,9000
Germany,1880,9000
World,1730-2010,9300
Christmas Island,1960,9300
Maldives,1960,6500
World,1730-2010,12400
World,1730-2010,6500
Madagascar,1940,17200
Martinique,1970,34400
Guam,1970,20900
World,1730-2010,6500
World,1730-2010,11600
Portugal,1960,11600
Mauritius,1960,5400
World,1730-2010,17200
Dominican Republic,1940,5400
Chile,1940,9000
Brunei,1960,9000
Puerto Rico,1970,3100
World,1730-2010,17200
World,1730-2010,43100
World,1730-2010,6500
Guernsey and Alderney,1950,20900
World,1730-2010,6500
El Salvador,1970,9000
Mali,2000,9000
Mongolia,1950,3100
World,1730-2010,6500
"Bonaire, Sint Eustatius and Saba",1950,11600
Honduras,1940,9000
Svalbard And Jan Mayen Islands,1980,9300
Dominica,1980,11600
Saint-Martin (French part),1970,11600
World,1730-2010,25800
World,1730-2010,9300
Sao Tome and Principe,1950,39500
Saint Pierre and Miquelon,1960,20900
World,1730-2010,6500
Dominica,1970,20900
World,1730-2010,24100
Solomon Islands,1950,17200
Suriname,1960,6500
"Bonaire, Sint Eustatius and Saba",1970,43100
World,1730-2010,12400
Korea South,1970,22200
Madagascar,1970,11600
World,1730-2010,9300
World,1730-2010,5400
World,1730-2010,11600
World,1730-2010,6500
Suriname,1970,22200
Georgia,1960,11600
World,1730-2010,11600
Chad,1990,9300
Benin,1970,9300
World,1730-2010,12400
Sao Tome and Principe,1850,9300
Vatican City State (Holy See),1950,17200
World,1730-2010,24100
Guinea,1970,3100
Gambia The,1970,9300
Armenia,1960,3100
World,1730-2010,12400
Tonga,1980,9300
World,1730-2010,5400
Slovakia,1920,9000
Sint Maarten (Dutch part),1860,9300
Sudan,1970,12400
Serbia,1960,11600
Ecuador,1970,9300
Guinea,1910,20900
World,1730-2010,9000
Belgium,1980,17200
French Southern Territories,1960,12400
World,1730-2010,12400
World,1730-2010,12400
Greenland,1970,12400
Guernsey and Alderney,1990,42800
Tajikistan,1940,5400
Azerbaijan,1860,6500
World,1730-2010,3100
Greece,1950,9300
World,1730-2010,11600
Antigua And Barbuda,2000,6500
Niger,1960,12400
World,1730-2010,3100
Mali,1960,11600
World,1730-2010,17200
Montserrat,1980,12400
Fiji Islands,1890,20900
World,1730-2010,20900
World,1730-2010,6500
World,1730-2010,34400
Cyprus,1950,24100
World,1730-2010,12400
Laos,1940,3100
World,1730-2010,9300
Armenia,1960,11600
Dominican Republic,1960,22200
Niue,1950,9300
World,1730-2010,3100
Honduras,1940,6500
Uruguay,1940,9300
World,1730-2010,6500
World,1730-2010,12400
Martinique,1960,9300
World,1730-2010,12400
Bhutan,1940,12400
World,1730-2010,20900
World,1730-2010,9300
Montserrat,1810,22200
Mongolia,1960,9300
World,1730-2010,11600
Austria,1960,9300
Belarus,1940,34400
Niue,1970,12400
World,1730-2010,12400
Tunisia,1960,12400
Kosovo,1970,17200
Mayotte,1930,5400
Netherlands The,1930,9300
World,1730-2010,11600
Ethiopia,1960,9300
Nepal,1950,9300
Tuvalu,1900,11600
World,1730-2010,22200
Svalbard And Jan Mayen Islands,1960,17200
World,1730-2010,9300
World,1730-2010,17200
British Indian Ocean Territory,1950,9000
Cayman Islands,1960,9300
Malawi,1950,9000
World,1730-2010,9000
Hungary,1940,9000
Guadeloupe,1960,5400
Trinidad And Tobago,1920,3100
Vatican City State (Holy See),1960,11600
Svalbard And Jan Mayen Islands,1970,20900
Ghana,1940,5400
Venezuela,1920,6500
Monaco,1960,5400
Mexico,1930,9300
South Sudan,1970,5400
Morocco,1970,6500
Cook Islands,1970,5400
Peru,1950,20900
World,1730-2010,17200
World,1730-2010,9300
World,1730-2010,3100
Gabon,1950,9000
Cambodia,1970,6500
World,1730-2010,9300
Christmas Island,1940,5400
Indonesia,1960,6500
Spain,1960,25800
Guadeloupe,1930,25800
Ecuador,1960,11600
Congo The Democratic Republic Of The,1920,3100
Dominica,1980,9300
Liechtenstein,1920,12400
World,1730-2010,25800
Malta,1970,11600
Macedonia,1960,11600
Pitcairn Island,1930,9000
Angola,1960,20900
Saint Pierre and Miquelon,1940,11600
Thailand,1940,24100
Turkmenistan,1970,12400
South Georgia,1960,9300
World,1730-2010,9000
Iceland,1970,38600
Namibia,1970,11600
Mauritius,1970,9300
Uzbekistan,1970,45500
Hong Kong S.A.R.,1920,12400
Cyprus,1930,9300
World,1730-2010,22200
World,1730-2010,11600
Guatemala,1970,11600
Peru,1940,11600
World,1730-2010,6500
World,1730-2010,24100
Lebanon,1940,24100
Korea North,1970,5400
Latvia,1960,6500
World,1730-2010,9000
Montenegro,1960,9000
Tuvalu,1970,3100
Panama,1960,12400
Lithuania,1970,9000
Brunei,1960,9300
Sri Lanka,1940,11600
China,1960,9000
World,1730-2010,5400
Brazil,1920,20900
Norfolk Island,1970,12400
World,1730-2010,5400
Morocco,1970,12400
Netherlands The,1950,25800
Barbados,1960,12400
World,1730-2010,9300
Swaziland,1960,20900
Gibraltar,1970,22200
Thailand,1960,9000
Nepal,1960,3100
Cambodia,1950,17200
Mexico,1970,5400
Svalbard And Jan Mayen Islands,1970,9300
Libya,1970,9300
American Samoa,1970,20900
World,1730-2010,22200
American Samoa,1960,3100
World,1730-2010,9300
Cape Verde,1970,5400
Libya,1920,11600
Cyprus,1950,17200
Colombia,1940,9300
Malaysia,1900,12400
Curaçao,1900,20900
Monaco,1960,22200
Montserrat,1970,20900
World,1730-2010,22200
Burundi,1960,9300
Angola,1960,25800
Lebanon,1960,20900
Christmas Island,1950,9300
Brunei,1970,5400
Algeria,1960,6500
Bosnia and Herzegovina,1960,9300
India,1950,17200
Niue,1950,5400
World,1730-2010,17200
Kyrgyzstan,1960,9300
Djibouti,1970,24100
Sao Tome and Principe,1950,9300
United Kingdom,1960,9000
Gabon,1970,11600
