Region,BeginDate,Income ($)
Port Vila; Vanuatu; Melanesia; Oceania,1930,20900
Fort-de-France; Martinique; Caribbean; Americas,1960,20900
Saint Helier; Jersey; Northern Europe; Europe,1938,22200
Torshavn; Faroe Islands; Northern Europe; Europe,1958,22200
Funafuti; Tuvalu; Polynesia; Oceania,1960,11600
Baghdad; Iraq; Western Asia; Asia,1894,9300
El-Aaiun; Western Sahara; Northern Africa; Africa,1961,12400
Yamoussoukro; Cote D'Ivoire (Ivory Coast); Western Africa; Africa,1956,9300
Pristina; Kosovo; Eastern Europe; Europe,1945,5400
Port-au-Prince; Haiti; Caribbean; Americas,1946,20900
Quito; Ecuador; South America; Americas,1956,9000
Cayenne; French Guiana; South America; Americas,1903,6500
Phnom Penh; Cambodia; South-Eastern Asia; Asia,1964,17200
George Town; Cayman Islands; Caribbean; Americas,1958,22200
Baku; Azerbaijan; Western Asia; Asia,1842,9000
St Peter Port; Guernsey and Alderney; Northern Europe; Europe,1909,11600
Pristina; Kosovo; Eastern Europe; Europe,1946,24100
Flying Fish Cove; Christmas Island; Australia and New Zealand; Oceania,1948,17200
Basseterre; Saint Kitts And Nevis; Caribbean; Americas,1952,17200
Luxembourg; Luxembourg; Western Europe; Europe,1956,6500
Ashgabat; Turkmenistan; Central Asia; Asia,1876,6500
Melekeok; Palau; Micronesia; Oceania,1959,9300
Gibraltar; Gibraltar; Southern Europe; Europe,1939,20900
Monrovia; Liberia; Western Africa; Africa,1960,5400
Belgrade; Serbia; Southern Europe; Europe,1879,5400
Baghdad; Iraq; Western Asia; Asia,1884,9300
Seoul; Korea South; Eastern Asia; Asia,1936,12400
Cairo; Egypt; Northern Africa; Africa,1954,12400
Manama; Bahrain; Western Asia; Asia,1935,24100
Marigot; Saint-Martin (French part); Caribbean; Americas,1950,11600
Havana; Cuba; Caribbean; Americas,1928,6500
Port Louis; Mauritius; Eastern Africa; Africa,1975,11600
Rome; Italy; Southern Europe; Europe,1944,9300
Baghdad; Iraq; Western Asia; Asia,1945,20900
Honiara; Solomon Islands; Melanesia; Oceania,1955,20900
Budapest; Hungary; Eastern Europe; Europe,1910,9000
Nay Pyi Taw; Myanmar; South-Eastern Asia; Asia,1908,6500
Kigali; Rwanda; Eastern Africa; Africa,1900,17200
Vaduz; Liechtenstein; Western Europe; Europe,1915,11600
Cayenne; French Guiana; South America; Americas,1934,9300
Longyearbyen; Svalbard And Jan Mayen Islands; Northern Europe; Europe,1951,22200
Tunis; Tunisia; Northern Africa; Africa,1932,34700
Monaco; Monaco; Western Europe; Europe,1936,9000
Beijing; China; Eastern Asia; Asia,1883,17200
Diego Garcia; British Indian Ocean Territory; Eastern Africa; Africa,1927,9300
Victoria; Seychelles; Eastern Africa; Africa,1952,3100
Avarua; Cook Islands; Polynesia; Oceania,1963,22200
Juba; South Sudan; Middle Africa; Africa,1929,22200
Kuala Lumpur; Malaysia; South-Eastern Asia; Asia,1952,17200
Willemstad; Curaçao; Caribbean; Americas,1814,22200
Tbilisi; Georgia; Western Asia; Asia,1944,9300
Windhoek; Namibia; Southern Africa; Africa,1896,9300
Bujumbura; Burundi; Eastern Africa; Africa,1980,9300
Basse-Terre; Guadeloupe; Caribbean; Americas,1958,9000
Santiago; Chile; South America; Americas,1955,9000
Minsk; Belarus; Eastern Europe; Europe,1946,5400
Seoul; Korea South; Eastern Asia; Asia,1947,6500
Yamoussoukro; Cote D'Ivoire (Ivory Coast); Western Africa; Africa,1948,12400
San Marino; San Marino; Southern Europe; Europe,1950,9300
Mbabane; Swaziland; Southern Africa; Africa,1946,12400
Ulan Bator; Mongolia; Eastern Asia; Asia,1963,20900
Windhoek; Namibia; Southern Africa; Africa,1951,11600
Paramaribo; Suriname; South America; Americas,1809,9300
Niamey; Niger; Western Africa; Africa,1954,22200
Cockburn Town; Turks And Caicos Islands; Caribbean; Americas,1939,20900
Funafuti; Tuvalu; Polynesia; Oceania,1824,17200
Asuncion; Paraguay; South America; Americas,1947,9000
Noumea; New Caledonia; Melanesia; Oceania,1961,6500
Melekeok; Palau; Micronesia; Oceania,1862,6500
Amman; Jordan; Western Asia; Asia,1962,5400
Funafuti; Tuvalu; Polynesia; Oceania,1782,34700
Antananarivo; Madagascar; Eastern Africa; Africa,1946,9000
Tirana; Albania; Southern Europe; Europe,1819,22200
Windhoek; Namibia; Southern Africa; Africa,1907,12400
Melekeok; Palau; Micronesia; Oceania,1956,43100
Dublin; Ireland; Northern Europe; Europe,1926,11600
Freetown; Sierra Leone; Western Africa; Africa,1967,9000
Alofi; Niue; Polynesia; Oceania,1959,6500
Pyongyang; Korea North; Eastern Asia; Asia,1948,9000
Vaduz; Liechtenstein; Western Europe; Europe,1944,9300
Tashkent; Uzbekistan; Central Asia; Asia,1951,9300
Kuwait City; Kuwait; Western Asia; Asia,1746,9300
Tripolis; Libya; Northern Africa; Africa,1949,17200
Yaounde; Cameroon; Middle Africa; Africa,1938,6500
Kampala; Uganda; Eastern Africa; Africa,1938,12400
Tokyo; Japan; Eastern Asia; Asia,1946,9000
Maputo; Mozambique; Eastern Africa; Africa,1949,6500
Kabul; Afghanistan; Southern Asia; Asia,1957,20900
Luanda; Angola; Middle Africa; Africa,1948,9300
Libreville; Gabon; Middle Africa; Africa,1950,5400
El-Aaiun; Western Sahara; Northern Africa; Africa,1905,17200
Sao Tome; Sao Tome and Principe; Middle Africa; Africa,1808,42800
Panama City; Panama; Central America; Americas,1944,12400
Colombo; Sri Lanka; Southern Asia; Asia,1935,12400
Avarua; Cook Islands; Polynesia; Oceania,1906,9000
Vilnius; Lithuania; Northern Europe; Europe,1951,43100
Manila; Philippines; South-Eastern Asia; Asia,1956,9300
Doha; Qatar; Western Asia; Asia,1953,6500
Charlotte Amalie; Virgin Islands (US); Caribbean; Americas,1946,9300
Banjul; Gambia The; Western Africa; Africa,1818,11600
Kuwait City; Kuwait; Western Asia; Asia,1871,5400
Warsaw; Poland; Eastern Europe; Europe,1955,12400
Kampala; Uganda; Eastern Africa; Africa,1957,9300
Luxembourg; Luxembourg; Western Europe; Europe,1962,9000
Sofia; Bulgaria; Eastern Europe; Europe,1942,5400
Maputo; Mozambique; Eastern Africa; Africa,1871,3100
Brasilia; Brazil; South America; Americas,1957,20900
Gustavia; Saint-Barthelemy; Caribbean; Americas,1960,11600
Tarawa; Kiribati; Micronesia; Oceania,1939,9300
Doha; Qatar; Western Asia; Asia,1956,22200
East Jerusalem; Palestinian Territory Occupied; Western Asia; Asia,1956,17200
George Town; Cayman Islands; Caribbean; Americas,1932,22200
Vaduz; Liechtenstein; Western Europe; Europe,1953,24100
Kinshasa; Congo The Democratic Republic Of The; Middle Africa; Africa,1955,20900
Port-aux-Francais; French Southern Territories; Southern Africa; Africa,1966,9000
Baghdad; Iraq; Western Asia; Asia,1947,3100
Port of Spain; Trinidad And Tobago; Caribbean; Americas,1953,5400
East Jerusalem; Palestinian Territory Occupied; Western Asia; Asia,1906,9300
Prague; Czech Republic; Eastern Europe; Europe,1930,11600
Port-aux-Francais; French Southern Territories; Southern Africa; Africa,1839,12400
Caracas; Venezuela; South America; Americas,1953,6500
Nouakchott; Mauritania; Western Africa; Africa,1960,12400
George Town; Cayman Islands; Caribbean; Americas,1941,12400
Monaco; Monaco; Western Europe; Europe,1944,3100
New Delhi; India; Southern Asia; Asia,1955,5400
Road Town; Virgin Islands (British); Caribbean; Americas,1958,9300
Mbabane; Swaziland; Southern Africa; Africa,1957,11600
Mogadishu; Somalia; Eastern Africa; Africa,1834,5400
Lisbon; Portugal; Southern Europe; Europe,1940,9300
Thimphu; Bhutan; Southern Asia; Asia,1867,9000
Havana; Cuba; Caribbean; Americas,1946,24100
Ashgabat; Turkmenistan; Central Asia; Asia,1943,9300
Sarajevo; Bosnia and Herzegovina; Southern Europe; Europe,1930,24100
Brazzaville; Congo; Middle Africa; Africa,1956,9300
Bogota; Colombia; South America; Americas,1954,6500
Saipan; Northern Mariana Islands; Micronesia; Oceania,1948,9300
Panama City; Panama; Central America; Americas,1938,17200
Dublin; Ireland; Northern Europe; Europe,1880,17200
Lima; Peru; South America; Americas,1864,20900
Vienna; Austria; Western Europe; Europe,1731,6500
The Valley; Anguilla; Caribbean; Americas,1941,45500
Honiara; Solomon Islands; Melanesia; Oceania,1960,34700
Belgrade; Serbia; Southern Europe; Europe,1858,12400
Pretoria; South Africa; Southern Africa; Africa,1948,9300
Djibouti; Djibouti; Eastern Africa; Africa,1960,12400
Washington; United States; Northern America; Americas,1947,6500
Noumea; New Caledonia; Melanesia; Oceania,1949,5400
Plymouth; Montserrat; Caribbean; Americas,1938,17200
Bamako; Mali; Western Africa; Africa,1978,6500
Managua; Nicaragua; Central America; Americas,1950,12400
Stanley; Falkland Islands; South America; Americas,1958,9000
Bern; Switzerland; Western Europe; Europe,1967,20900
Funafuti; Tuvalu; Polynesia; Oceania,1958,12400
Cockburn Town; Turks And Caicos Islands; Caribbean; Americas,1901,12400
Hanoi; Vietnam; South-Eastern Asia; Asia,1955,9300
Bucharest; Romania; Eastern Europe; Europe,1948,9000
Vaduz; Liechtenstein; Western Europe; Europe,1961,12400
Stockholm; Sweden; Northern Europe; Europe,1946,9000
Grytviken; South Georgia; South America; Americas,1789,9300
Managua; Nicaragua; Central America; Americas,1961,3100
Hagatna; Guam; Micronesia; Oceania,1977,24100
Guatemala City; Guatemala; Central America; Americas,1958,20900
Hagatna; Guam; Micronesia; Oceania,1960,22200
Djibouti; Djibouti; Eastern Africa; Africa,1958,12400
Mariehamn; Aland Islands; Northern Europe; Europe,1940,9000
Malabo; Equatorial Guinea; Middle Africa; Africa,1917,12400
Belgrade; Serbia; Southern Europe; Europe,1960,12400
Port-au-Prince; Haiti; Caribbean; Americas,1799,9000
Valletta; Malta; Southern Europe; Europe,1961,17200
Muscat; Oman; Western Asia; Asia,1976,22200
Algiers; Algeria; Northern Africa; Africa,1961,20900
Amsterdam; Netherlands The; Western Europe; Europe,1951,5400
Porto-Novo; Benin; Western Africa; Africa,1928,43100
Monrovia; Liberia; Western Africa; Africa,1952,17200
Jamestown; Saint Helena; Western Africa; Africa,1847,6500
Kigali; Rwanda; Eastern Africa; Africa,1970,22200
Bamako; Mali; Western Africa; Africa,2001,17200
Avarua; Cook Islands; Polynesia; Oceania,1923,3100
Mbabane; Swaziland; Southern Africa; Africa,1951,22200
Hanoi; Vietnam; South-Eastern Asia; Asia,1946,9000
Copenhagen; Denmark; Northern Europe; Europe,1951,5400
Sarajevo; Bosnia and Herzegovina; Southern Europe; Europe,1947,9300
N'Djamena; Chad; Middle Africa; Africa,1953,17200
Port Moresby; Papua new Guinea; Melanesia; Oceania,1943,11600
Vientiane; Laos; South-Eastern Asia; Asia,1961,5400
Torshavn; Faroe Islands; Northern Europe; Europe,1887,20900
Flying Fish Cove; Christmas Island; Australia and New Zealand; Oceania,1922,12400
Beijing; China; Eastern Asia; Asia,1911,9000
St. George's; Grenada; Caribbean; Americas,1947,17200
Doha; Qatar; Western Asia; Asia,1921,9000
Belgrade; Serbia; Southern Europe; Europe,1886,6500
Sucre; Bolivia; South America; Americas,1904,42800
Hagatna; Guam; Micronesia; Oceania,1957,22200
Stanley; Falkland Islands; South America; Americas,1939,9300
Roseau; Dominica; Caribbean; Americas,1943,12400
Jerusalem; Israel; Western Asia; Asia,1929,22200
West Island; Cocos (Keeling) Islands; Australia and New Zealand; Oceania,1792,9300
Charlotte Amalie; Virgin Islands (US); Caribbean; Americas,1926,5400
Kinshasa; Congo The Democratic Republic Of The; Middle Africa; Africa,1927,20900
Bridgetown; Barbados; Caribbean; Americas,1935,25800
Vaduz; Liechtenstein; Western Europe; Europe,1927,9300
Brasilia; Brazil; South America; Americas,1952,34400
Stockholm; Sweden; Northern Europe; Europe,1917,22200
Prague; Czech Republic; Eastern Europe; Europe,1901,9300
Quito; Ecuador; South America; Americas,1953,6500
Rabat; Morocco; Northern Africa; Africa,1925,39500
East Jerusalem; Palestinian Territory Occupied; Western Asia; Asia,1934,9300
Cayenne; French Guiana; South America; Americas,1910,9000
Longyearbyen; Svalbard And Jan Mayen Islands; Northern Europe; Europe,1923,9300
Vienna; Austria; Western Europe; Europe,1955,9300
Kampala; Uganda; Eastern Africa; Africa,1920,12400
Willemstad; Curaçao; Caribbean; Americas,1935,11600
Kingstown; Saint Vincent And The Grenadines; Caribbean; Americas,1953,17200
Avarua; Cook Islands; Polynesia; Oceania,1938,45500
Tunis; Tunisia; Northern Africa; Africa,1905,9300
Sao Tome; Sao Tome and Principe; Middle Africa; Africa,1939,9000
Bamako; Mali; Western Africa; Africa,1938,24100
Havana; Cuba; Caribbean; Americas,1934,5400
Ljubljana; Slovenia; Southern Europe; Europe,1942,12400
San Jose; Costa Rica; Central America; Americas,1995,12400
Torshavn; Faroe Islands; Northern Europe; Europe,1976,9300
Flying Fish Cove; Christmas Island; Australia and New Zealand; Oceania,1943,12400
Port-au-Prince; Haiti; Caribbean; Americas,1936,22200
El-Aaiun; Western Sahara; Northern Africa; Africa,1935,9300
Sao Tome; Sao Tome and Principe; Middle Africa; Africa,1886,12400
Tripolis; Libya; Northern Africa; Africa,1940,9000
Vientiane; Laos; South-Eastern Asia; Asia,1911,5400
Sao Tome; Sao Tome and Principe; Middle Africa; Africa,1850,34400
Vatican City; Vatican City State (Holy See); Southern Europe; Europe,1943,9300
Bern; Switzerland; Western Europe; Europe,1939,5400
Saint Helier; Jersey; Northern Europe; Europe,1963,9300
Singapur; Singapore; South-Eastern Asia; Asia,1954,6500
Berlin; Germany; Western Europe; Europe,1946,12400
Windhoek; Namibia; Southern Africa; Africa,1949,5400
Washington; United States; Northern America; Americas,1960,9300
Torshavn; Faroe Islands; Northern Europe; Europe,1953,9300
Lusaka; Zambia; Eastern Africa; Africa,1931,3100
Port-au-Prince; Haiti; Caribbean; Americas,1893,9300
Porto-Novo; Benin; Western Africa; Africa,1947,5400
Accra; Ghana; Western Africa; Africa,1834,6500
Diego Garcia; British Indian Ocean Territory; Eastern Africa; Africa,1937,11600
Damascus; Syria; Western Asia; Asia,1826,20900
Vaduz; Liechtenstein; Western Europe; Europe,1926,11600
Diego Garcia; British Indian Ocean Territory; Eastern Africa; Africa,1912,9300
Bissau; Guinea-Bissau; Western Africa; Africa,1943,25800
St. George's; Grenada; Caribbean; Americas,1998,9300
Bogota; Colombia; South America; Americas,1943,20900
Bratislava; Slovakia; Eastern Europe; Europe,1939,9000
Amman; Jordan; Western Asia; Asia,1938,20900
Oslo; Norway; Northern Europe; Europe,1946,20900
Gustavia; Saint-Barthelemy; Caribbean; Americas,1951,22200
Willemstad; Curaçao; Caribbean; Americas,1960,9300
Dushanbe; Tajikistan; Central Asia; Asia,1944,9300
Phnom Penh; Cambodia; South-Eastern Asia; Asia,1899,9300
Papeete; French Polynesia; Polynesia; Oceania,1938,6500
Skopje; Macedonia; Southern Europe; Europe,1925,17200
Mamoudzou; Mayotte; Eastern Africa; Africa,1950,9300
Bamako; Mali; Western Africa; Africa,1953,11600
Baku; Azerbaijan; Western Asia; Asia,1974,34400
Nassau; Bahamas The; Caribbean; Americas,1942,12400
Bandar Seri Begawan; Brunei; South-Eastern Asia; Asia,1952,9000
Mata Utu; Wallis And Futuna Islands; Polynesia; Oceania,1926,9300
Bandar Seri Begawan; Brunei; South-Eastern Asia; Asia,1934,24100
Ankara; Turkey; Western Asia; Asia,1941,6500
Tokyo; Japan; Eastern Asia; Asia,1943,5400
Caracas; Venezuela; South America; Americas,1940,20900
Majuro; Marshall Islands; Micronesia; Oceania,1940,6500
Conakry; Guinea; Western Africa; Africa,1940,12400
Adamstown; Pitcairn Island; Polynesia; Oceania,1939,5400
Nay Pyi Taw; Myanmar; South-Eastern Asia; Asia,1950,9000
Windhoek; Namibia; Southern Africa; Africa,1944,22200
Praia; Cape Verde; Western Africa; Africa,1955,34400
Juba; South Sudan; Middle Africa; Africa,1954,25800
San Juan; Puerto Rico; Caribbean; Americas,1942,12400
Tashkent; Uzbekistan; Central Asia; Asia,1962,34700
Belmopan; Belize; Central America; Americas,1948,11600
Oslo; Norway; Northern Europe; Europe,1947,17200
Budapest; Hungary; Eastern Europe; Europe,1878,6500
Islamabad; Pakistan; Southern Asia; Asia,1932,9300
Luanda; Angola; Middle Africa; Africa,1944,3100
Stockholm; Sweden; Northern Europe; Europe,2012,12400
Hanoi; Vietnam; South-Eastern Asia; Asia,1908,9300
Ulan Bator; Mongolia; Eastern Asia; Asia,1956,6500
Prague; Czech Republic; Eastern Europe; Europe,1994,17200
Tallinn; Estonia; Northern Europe; Europe,1824,6500
Apia; Samoa; Polynesia; Oceania,1958,34400
Plymouth; Montserrat; Caribbean; Americas,1962,5400
Cayenne; French Guiana; South America; Americas,1917,17200
Banjul; Gambia The; Western Africa; Africa,1918,17200
Tehran; Iran; Southern Asia; Asia,1948,9000
New Delhi; India; Southern Asia; Asia,1939,6500
Quito; Ecuador; South America; Americas,1880,5400
Dushanbe; Tajikistan; Central Asia; Asia,1955,12400
Tirana; Albania; Southern Europe; Europe,1949,9300
Chisinau; Moldova; Eastern Europe; Europe,1906,6500
Palikir; Micronesia; Micronesia; Oceania,1882,9300
Pretoria; South Africa; Southern Africa; Africa,1894,20900
London; United Kingdom; Northern Europe; Europe,1893,9000
New Delhi; India; Southern Asia; Asia,1946,25800
Vatican City; Vatican City State (Holy See); Southern Europe; Europe,1945,25800
Buenos Aires; Argentina; South America; Americas,1945,9300
Port-au-Prince; Haiti; Caribbean; Americas,1950,43100
Maputo; Mozambique; Eastern Africa; Africa,1960,20900
Panama City; Panama; Central America; Americas,1956,17200
Berlin; Germany; Western Europe; Europe,1961,6500
Yamoussoukro; Cote D'Ivoire (Ivory Coast); Western Africa; Africa,1939,11600
Berlin; Germany; Western Europe; Europe,1879,11600
Pyongyang; Korea North; Eastern Asia; Asia,1964,12400
San Juan; Puerto Rico; Caribbean; Americas,1791,22200
Helsinki; Finland; Northern Europe; Europe,1929,22200
Kabul; Afghanistan; Southern Asia; Asia,1936,11600
Skopje; Macedonia; Southern Europe; Europe,1935,17200
Lome; Togo; Western Africa; Africa,1938,5400
Berlin; Germany; Western Europe; Europe,1920,5400
Vienna; Austria; Western Europe; Europe,1904,6500
Nairobi; Kenya; Eastern Africa; Africa,1971,9300
Yaounde; Cameroon; Middle Africa; Africa,1907,11600
Castries; Saint Lucia; Caribbean; Americas,1920,22200
Accra; Ghana; Western Africa; Africa,1927,12400
Kingstown; Saint Vincent And The Grenadines; Caribbean; Americas,1909,9000
Belgrade; Serbia; Southern Europe; Europe,1912,9300
Belmopan; Belize; Central America; Americas,1889,9300
Belgrade; Serbia; Southern Europe; Europe,1899,11600
Lusaka; Zambia; Eastern Africa; Africa,1909,24100
Adamstown; Pitcairn Island; Polynesia; Oceania,1923,9300
Saint-Pierre; Saint Pierre and Miquelon; Northern America; Americas,1921,20900
Prague; Czech Republic; Eastern Europe; Europe,1926,9000
Mexico City; Mexico; Central America; Americas,1902,12400
St Peter Port; Guernsey and Alderney; Northern Europe; Europe,1914,12400
Vientiane; Laos; South-Eastern Asia; Asia,1921,9300
Antananarivo; Madagascar; Eastern Africa; Africa,1907,5400
West Island; Cocos (Keeling) Islands; Australia and New Zealand; Oceania,1937,9000
Kuala Lumpur; Malaysia; South-Eastern Asia; Asia,1909,20900
Jamestown; Saint Helena; Western Africa; Africa,1920,9300
Stockholm; Sweden; Northern Europe; Europe,1929,20900
Pristina; Kosovo; Eastern Europe; Europe,1916,12400
Colombo; Sri Lanka; Southern Asia; Asia,1919,20900
Roseau; Dominica; Caribbean; Americas,1876,9300
Mamoudzou; Mayotte; Eastern Africa; Africa,1965,11600
Porto-Novo; Benin; Western Africa; Africa,1953,9300
Willemstad; Curaçao; Caribbean; Americas,1952,11600
Moroni; Comoros; Eastern Africa; Africa,1926,9300
Palikir; Micronesia; Micronesia; Oceania,1936,9000
Abu Dhabi; United Arab Emirates; Western Asia; Asia,1936,20900
Yamoussoukro; Cote D'Ivoire (Ivory Coast); Western Africa; Africa,1843,25800
Mexico City; Mexico; Central America; Americas,1954,11600
Managua; Nicaragua; Central America; Americas,1966,11600
Torshavn; Faroe Islands; Northern Europe; Europe,1955,24100
Baghdad; Iraq; Western Asia; Asia,1932,11600
Islamabad; Pakistan; Southern Asia; Asia,1923,17200
Rabat; Morocco; Northern Africa; Africa,1946,42800
Yaren; Nauru; Micronesia; Oceania,1943,6500
Cayenne; French Guiana; South America; Americas,1940,20900
El-Aaiun; Western Sahara; Northern Africa; Africa,1956,20900
Berlin; Germany; Western Europe; Europe,1889,9000
Riyadh; Saudi Arabia; Western Asia; Asia,1943,9000
Kinshasa; Congo The Democratic Republic Of The; Middle Africa; Africa,1812,9300
Ottawa; Canada; Northern America; Americas,1860,5400
Abu Dhabi; United Arab Emirates; Western Asia; Asia,1903,9300
Kampala; Uganda; Eastern Africa; Africa,1938,12400
Palikir; Micronesia; Micronesia; Oceania,1827,20900
Montevideo; Uruguay; South America; Americas,1951,11600
Nicosia; Cyprus; Southern Europe; Europe,1902,9000
Roseau; Dominica; Caribbean; Americas,1956,12400
Colombo; Sri Lanka; Southern Asia; Asia,1960,12400
Marigot; Saint-Martin (French part); Caribbean; Americas,1962,9300
Tokyo; Japan; Eastern Asia; Asia,1950,11600
Manama; Bahrain; Western Asia; Asia,1950,24100
Baku; Azerbaijan; Western Asia; Asia,1959,9000
Avarua; Cook Islands; Polynesia; Oceania,1886,9300
Kampala; Uganda; Eastern Africa; Africa,1896,9300
Pristina; Kosovo; Eastern Europe; Europe,1834,17200
Madrid; Spain; Southern Europe; Europe,1934,6500
"Kralendijk; Bonaire, Sint Eustatius and Saba; Caribbean; Americas",1959,9300
Honiara; Solomon Islands; Melanesia; Oceania,1942,12400
Astana; Kazakhstan; Central Asia; Asia,1860,24100
Algiers; Algeria; Northern Africa; Africa,1852,9300
Vatican City; Vatican City State (Holy See); Southern Europe; Europe,1933,12400
Santiago; Chile; South America; Americas,1896,20900
Yerevan; Armenia; Western Asia; Asia,1955,22200
"Kralendijk; Bonaire, Sint Eustatius and Saba; Caribbean; Americas",1957,6500
Bridgetown; Barbados; Caribbean; Americas,1958,9300
Nouakchott; Mauritania; Western Africa; Africa,1949,12400
Ljubljana; Slovenia; Southern Europe; Europe,1958,24100
Port-au-Prince; Haiti; Caribbean; Americas,1934,9000
Belgrade; Serbia; Southern Europe; Europe,1937,9000
St. John's; Antigua And Barbuda; Caribbean; Americas,1848,6500
Rabat; Morocco; Northern Africa; Africa,1957,22200
San Jose; Costa Rica; Central America; Americas,1952,12400
Bratislava; Slovakia; Eastern Europe; Europe,1966,17200
Bamako; Mali; Western Africa; Africa,1959,11600
Luanda; Angola; Middle Africa; Africa,1945,9300
Port-au-Prince; Haiti; Caribbean; Americas,1962,9300
St Peter Port; Guernsey and Alderney; Northern Europe; Europe,1996,9300
Tokyo; Japan; Eastern Asia; Asia,1890,22200
Yamoussoukro; Cote D'Ivoire (Ivory Coast); Western Africa; Africa,1815,22200
Pretoria; South Africa; Southern Africa; Africa,1973,9300
Dili; East Timor; South-Eastern Asia; Asia,1954,17200
Vientiane; Laos; South-Eastern Asia; Asia,1974,9000
Jerusalem; Israel; Western Asia; Asia,1899,12400
Montevideo; Uruguay; South America; Americas,1980,6500
Tunis; Tunisia; Northern Africa; Africa,1964,9000
Minsk; Belarus; Eastern Europe; Europe,1962,22200
Yaren; Nauru; Micronesia; Oceania,1944,9000
"Douglas, Isle of Man; Man (Isle of); Northern Europe; Europe",1957,17200
Hagatna; Guam; Micronesia; Oceania,1853,38600
Cairo; Egypt; Northern Africa; Africa,1945,11600
Amman; Jordan; Western Asia; Asia,1964,11600
Noumea; New Caledonia; Melanesia; Oceania,1891,9300
Yaounde; Cameroon; Middle Africa; Africa,1890,5400
Santo Domingo; Dominican Republic; Caribbean; Americas,1944,25800
Adamstown; Pitcairn Island; Polynesia; Oceania,1957,12400
Dublin; Ireland; Northern Europe; Europe,1927,9000
Flying Fish Cove; Christmas Island; Australia and New Zealand; Oceania,1961,5400
Port-au-Prince; Haiti; Caribbean; Americas,1969,9300
Vatican City; Vatican City State (Holy See); Southern Europe; Europe,1964,34400
Melekeok; Palau; Micronesia; Oceania,1956,9000
Kampala; Uganda; Eastern Africa; Africa,1944,22200
Colombo; Sri Lanka; Southern Asia; Asia,1961,9300
Addis Ababa; Ethiopia; Eastern Africa; Africa,1953,22200
San Marino; San Marino; Southern Europe; Europe,1863,6500
Kabul; Afghanistan; Southern Asia; Asia,1935,20900
Ljubljana; Slovenia; Southern Europe; Europe,1924,20900
Alofi; Niue; Polynesia; Oceania,1852,9300
Berlin; Germany; Western Europe; Europe,1940,9300
Cockburn Town; Turks And Caicos Islands; Caribbean; Americas,1965,5400
Marigot; Saint-Martin (French part); Caribbean; Americas,1958,11600
Dushanbe; Tajikistan; Central Asia; Asia,1957,22200
Abuja; Nigeria; Western Africa; Africa,1970,20900
Valletta; Malta; Southern Europe; Europe,1967,11600
Georgetown; Guyana; South America; Americas,1947,3100
Male; Maldives; Southern Asia; Asia,1949,9000
Basseterre; Saint Kitts And Nevis; Caribbean; Americas,1954,12400
San Jose; Costa Rica; Central America; Americas,1940,22200
St. George's; Grenada; Caribbean; Americas,1944,6500
Port Moresby; Papua new Guinea; Melanesia; Oceania,2015,22200
Ljubljana; Slovenia; Southern Europe; Europe,1955,9000
Riga; Latvia; Northern Europe; Europe,1860,11600
Bogota; Colombia; South America; Americas,1957,34400
Ankara; Turkey; Western Asia; Asia,1964,38600
Belgrade; Serbia; Southern Europe; Europe,1944,17200
Gaborone; Botswana; Southern Africa; Africa,1955,39500
Bridgetown; Barbados; Caribbean; Americas,1941,17200
Cayenne; French Guiana; South America; Americas,1940,9300
Ottawa; Canada; Northern America; Americas,1765,9000
Lisbon; Portugal; Southern Europe; Europe,1948,9000
Port Moresby; Papua new Guinea; Melanesia; Oceania,1935,17200
Budapest; Hungary; Eastern Europe; Europe,1833,25800
Luanda; Angola; Middle Africa; Africa,1855,9300
Kiev; Ukraine; Eastern Europe; Europe,1954,11600
Kigali; Rwanda; Eastern Africa; Africa,1901,42800
Phnom Penh; Cambodia; South-Eastern Asia; Asia,1916,39500
Avarua; Cook Islands; Polynesia; Oceania,1992,11600
Victoria; Seychelles; Eastern Africa; Africa,1955,9300
Buenos Aires; Argentina; South America; Americas,1958,5400
Longyearbyen; Svalbard And Jan Mayen Islands; Northern Europe; Europe,1953,34700
Yamoussoukro; Cote D'Ivoire (Ivory Coast); Western Africa; Africa,1940,9300
Tashkent; Uzbekistan; Central Asia; Asia,1942,34700
Palikir; Micronesia; Micronesia; Oceania,1892,6500
St. George's; Grenada; Caribbean; Americas,1965,3100
Dushanbe; Tajikistan; Central Asia; Asia,1941,11600
Havana; Cuba; Caribbean; Americas,1946,17200
Budapest; Hungary; Eastern Europe; Europe,1926,22200
Male; Maldives; Southern Asia; Asia,1957,5400
Hamilton; Bermuda; Northern America; Americas,1959,9300
Kinshasa; Congo The Democratic Republic Of The; Middle Africa; Africa,1971,22200
Suva; Fiji Islands; Melanesia; Oceania,1953,12400
Stockholm; Sweden; Northern Europe; Europe,1955,24100
Sarajevo; Bosnia and Herzegovina; Southern Europe; Europe,1948,9300
Funafuti; Tuvalu; Polynesia; Oceania,1970,11600
Athens; Greece; Southern Europe; Europe,1949,11600
Caracas; Venezuela; South America; Americas,1966,5400
Kuala Lumpur; Malaysia; South-Eastern Asia; Asia,1945,9300
Grytviken; South Georgia; South America; Americas,1933,6500
"Douglas, Isle of Man; Man (Isle of); Northern Europe; Europe",1962,11600
Port Moresby; Papua new Guinea; Melanesia; Oceania,1953,24100
Monaco; Monaco; Western Europe; Europe,1963,20900
Amsterdam; Netherlands The; Western Europe; Europe,1966,5400
